Object
30
 -100000 Global Angle eric_raheem_head:eric_raheem_head -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_ankle:eric_raheem_l_ankle -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_elbow:eric_raheem_l_elbow -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_knee_fixed:eric_raheem_l_knee_fixed -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_wrist:eric_raheem_l_wrist -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_mid_back:eric_raheem_mid_back -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_mid_front:eric_raheem_mid_front -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_ankle:eric_raheem_r_ankle -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_elbow:eric_raheem_r_elbow -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_knee_fixed:eric_raheem_r_knee_fixed -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_wrist:eric_raheem_r_wrist -100000 -100000 -100000 -100000 -100000 -100000
Frame Sub Frame RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY T
 -100000 rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm m
21 0 -0.373135 1.27954 1.63631 1394.35 191.328 1296.53 -0.277566 0.0108943 2.35593 1203.65 -184.64 152.579 -0.111329 -1.72865 -0.24149 1135.93 -28.9308 969.919 0.157614 -0.433154 1.88113 1225.47 -50.916 568.595 -0.874009 0.012149 -0.0360206 1272.36 -7.87848 786.173 -0.19894 0.322471 1.95143 1309.11 -342.355 1068.96 -0.353379 0.632607 1.92079 1376.39 -130.389 925.879 0.25876 -0.0548485 1.45753 1549.85 -236.398 137.46 0.669908 2.18464 1.74935 1627.7 -164.886 1086.87 0.236127 -0.193951 1.8233 1555.62 -164.974 571.42 1.61951 1.21608 2.33281 1611.49 -95.6894 812.83
22 0 -0.37266 1.27689 1.63658 1395.14 191.219 1295.87 -0.27683 0.00556157 2.35633 1205.12 -185.594 151.057 -1.61832 0.68863 0.4557 1099.4 -54.3072 976.3 0.151792 -0.428779 1.88449 1226.52 -53.0137 567.285 -0.876558 0.00878414 -0.0351554 1273 -8.49345 785.1 -0.199622 0.325075 1.94861 1309.06 -342.857 1068.86 -0.348649 0.625546 1.92796 1376.63 -131.35 925.714 0.257935 -0.0531008 1.45536 1550.29 -236.596 137.747 0.674192 2.17969 1.75066 1627.97 -165.348 1085.96 0.237453 -0.197367 1.82071 1556.6 -165.208 571.705 1.61548 1.2171 2.33109 1612.62 -96.6422 811.49
23 0 -0.374385 1.27759 1.636 1395.74 190.855 1294.84 -0.273218 -0.00158031 2.3574 1206.42 -186.275 149.406 -1.61897 0.690107 0.457138 1099.89 -54.4987 975.692 0.145745 -0.426208 1.88708 1227.67 -55.1109 565.918 -0.878078 0.0153267 -0.037805 1272.95 -9.07963 784.081 -0.200431 0.326672 1.94611 1308.95 -343.351 1068.75 -0.352192 0.627463 1.92587 1376.91 -132.351 925.408 0.258004 -0.0512565 1.45338 1550.74 -236.785 138.018 0.675733 2.17702 1.75063 1628.17 -165.794 1084.96 0.238616 -0.200368 1.81827 1557.63 -165.365 572.017 1.60984 1.21626 2.32837 1613.86 -97.5887 810.11
24 0 -0.375115 1.27632 1.63577 1396.44 190.67 1293.92 -0.268169 -0.00982497 2.35465 1207.56 -186.498 147.687 -1.62172 0.688495 0.455377 1100.39 -54.7784 975.032 0.140567 -0.423583 1.88949 1228.91 -57.2807 564.511 -0.884254 0.012872 -0.0319691 1273.58 -9.71499 783.143 -0.202144 0.332584 1.94371 1308.93 -343.829 1068.6 -0.355206 0.628708 1.92338 1377.19 -133.36 925.07 0.255928 -0.0491978 1.45295 1551.27 -236.958 138.37 0.674828 2.17927 1.75016 1628.25 -166.238 1083.86 0.245523 -0.221106 1.79102 1559.05 -165.785 572.614 1.60418 1.21654 2.32549 1615.09 -98.5464 808.69
25 0 -0.374189 1.27543 1.63499 1397.12 190.46 1293.02 -0.26048 -0.0202671 2.35212 1208.49 -186.482 145.965 -1.62575 0.686425 0.455006 1100.79 -54.9635 974.34 0.132479 -0.419112 1.88879 1230.23 -59.3803 563.088 -0.88813 0.0129736 -0.0301957 1273.96 -10.3562 782.071 -0.200575 0.328928 1.9392 1308.76 -344.331 1068.44 -0.358421 0.63067 1.92187 1377.47 -134.398 924.704 0.253794 -0.046605 1.45343 1551.86 -237.148 138.754 0.678384 2.17227 1.75134 1628.58 -166.655 1082.89 0.244333 -0.223847 1.79467 1560.04 -165.797 572.961 1.59929 1.21539 2.32254 1616.31 -99.4882 807.26
26 0 -0.373378 1.27579 1.63438 1397.67 190.2 1292.07 -0.241562 -0.0342756 2.34787 1209.53 -186.219 144.432 -1.61951 0.696164 0.465022 1101.47 -55.2449 973.749 0.129281 -0.418641 1.88817 1231.65 -61.5194 561.692 -0.891327 0.0128374 -0.0295876 1274.37 -10.98 781.001 -0.201331 0.331873 1.93592 1308.69 -344.816 1068.28 -0.369846 0.642161 1.90971 1377.75 -135.442 924.145 0.252435 -0.0441348 1.45279 1552.45 -237.316 139.142 0.678799 2.16999 1.75142 1628.76 -167.065 1081.8 0.244674 -0.227731 1.79405 1561.06 -165.77 573.377 1.59229 1.21278 2.31862 1617.67 -100.419 805.76
27 0 -0.375847 1.27351 1.63475 1398.45 189.973 1291.11 -0.242174 -0.0573994 2.33708 1210.72 -185.535 142.748 -1.62922 0.672347 0.459731 1101.68 -55.2344 973.013 0.12093 -0.41358 1.8836 1233.13 -63.4689 560.369 -0.894072 0.0127513 -0.0274223 1274.8 -11.6166 779.873 -0.202346 0.336353 1.93302 1308.61 -345.28 1068.11 -0.374188 0.647095 1.9085 1378.01 -136.503 923.681 0.274768 -0.0243795 1.46197 1553.18 -237.294 139.035 0.679711 2.16743 1.7518 1628.96 -167.454 1080.69 0.243778 -0.232196 1.79285 1562.1 -165.689 573.839 1.58974 1.21326 2.31604 1618.72 -101.336 804.29
28 0 -0.377136 1.27241 1.63498 1399.21 189.738 1290.09 -0.248967 -0.0629102 2.32849 1211.67 -185.437 141.196 -1.6459 0.661317 0.437649 1102.12 -55.0902 971.739 0.119461 -0.418763 1.87856 1234.73 -65.3985 559.073 -0.89727 0.0143471 -0.0261335 1275.16 -12.2141 778.786 -0.202823 0.33993 1.92949 1308.51 -345.747 1067.92 -0.361181 0.65602 1.9067 1378.69 -137.628 923.152 0.273697 -0.0212122 1.46245 1553.89 -237.43 139.489 0.680589 2.16479 1.75228 1629.17 -167.835 1079.56 0.243206 -0.238419 1.79162 1563.13 -165.529 574.368 1.58439 1.21389 2.31323 1619.95 -102.257 802.79
29 0 -0.37702 1.27096 1.63452 1399.85 189.6 1289.09 -0.258341 -0.0669267 2.31904 1212.79 -185.557 139.892 -1.64709 0.662911 0.441058 1102.77 -55.3606 970.967 0.113982 -0.414635 1.87105 1236.45 -66.9192 558.027 -0.900459 0.015397 -0.0253416 1275.53 -12.8355 777.663 -0.204198 0.344005 1.92465 1308.37 -346.187 1067.71 -0.36193 0.66213 1.90667 1379.08 -138.703 922.629 0.273939 -0.0172681 1.46437 1554.64 -237.59 139.927 0.686742 2.16589 1.75186 1629.14 -168.224 1078.29 0.242519 -0.242752 1.78978 1564.15 -165.327 574.922 1.58028 1.21312 2.31011 1621.11 -103.127 801.25
30 0 -0.377489 1.2706 1.63439 1400.51 189.339 1288.01 -0.282007 -0.0669372 2.30613 1214 -185.753 139.097 -1.65182 0.659148 0.43483 1103.19 -55.3439 970.079 0.115098 -0.424066 1.8617 1238.2 -68.263 557.17 -0.903308 0.0156625 -0.0247894 1275.94 -13.4415 776.541 -0.202833 0.349058 1.92199 1308.23 -346.66 1067.56 -0.362363 0.669272 1.9072 1379.45 -139.795 922.059 0.271592 -0.0135578 1.46729 1555.52 -237.728 140.506 0.677924 2.15876 1.75123 1629.69 -168.549 1077.16 0.242544 -0.250367 1.78972 1565.19 -165.002 575.536 1.57543 1.21194 2.30721 1622.32 -104.003 799.69
